id,full_name,full_name_kana,sex,tel,fax,mobile,email,zip,prefecture,city,house_number,birthday,hometown,blood,religion,role_courtship,role_matchmaker,matchmaker_id
131,井出 昭男,イデ アキオ,男,984175586,,9060959169,akioide@zgik.cl,889-1802,宮崎県,都城市,山之口町花木1-19-12,1979/10/5,岡山県,B,buddhism,TRUE,FALSE,1
132,長野 譲,ナガノ ユズル,男,145685692,145685693,9022130784,yuzurunagano@nrrcvhw.gme,091-0023,北海道,北見市,留辺蘂町旭中央37258,1976/8/28,鹿児島県,O,buddhism,TRUE,FALSE,6
133,上杉 幸春,ウエスギ ユキハル,男,99847401,99847401,8088654490,yukiharu564@xvcwgovg.nyw,899-3516,鹿児島県,南さつま市,金峰町浦之名37237,1991/9/11,埼玉県,B,buddhism,TRUE,FALSE,5
134,相沢 麻巳子,アイザワ マミコ,女,260303625,260303625,8054635749,mamiko79909@dqudvy.mj,396-0302,長野県,伊那市,高遠町芝平37593,1975/12/29,東京都,A,buddhism,TRUE,FALSE,5
135,唐沢 恵一,カラサワ ケイイチ,男,765532380,,8043430255,keiichi084@adaz.madvo.dik,930-0043,富山県,富山市,石倉町2-20-9,1974/6/2,長野県,O,buddhism,TRUE,FALSE,6
136,和泉 雄二,イズミ ユウジ,男,869654693,869654693,8048041875,yuuji7725@vpatso.rss,704-8191,岡山県,岡山市東区,西大寺中野3-19-20,1998/6/7,富山県,A,buddhism,TRUE,FALSE,8
137,三谷 乃愛,ミタニ ノア,女,681782394,,9033846908,ayvwzcoxtnoa10913@mfzcupxyug.tx.gt,594-1133,大阪府,和泉市,春木川町43525,1986/5/26,宮崎県,O,buddhism,TRUE,FALSE,5
138,金田 重行,カナダ シゲユキ,男,279335060,,9015725269,Shigeyuki_Kanada@kaynsrii.cn,370-2317,群馬県,富岡市,上高尾38311,1980/3/13,神奈川県,O,buddhism,TRUE,FALSE,3
139,植木 心春,ウエキ コハル,女,897942592,897942592,8085208883,uueki@zqxsromax.pjwtd.qx,796-8039,愛媛県,八幡浜市,布喜川37669,1982/7/2,和歌山県,A,buddhism,TRUE,FALSE,5
140,徳永 寅男,トクナガ トラオ,男,183368395,,9045145083,otokunaga@uifcwntxiu.aqx,018-0148,秋田県,にかほ市,象潟町下浜山3-16-14,1966/10/22,福島県,B,buddhism,TRUE,FALSE,6
141,杉本 冬真,スギモト トウマ,男,151174638,151174638,9085978789,asugimoto@oroltiunh.az,074-1182,北海道,旭川市,神居町豊里3-13-16,1999/10/9,兵庫県,B,buddhism,TRUE,FALSE,5
142,石井 佳那子,イシイ カナコ,女,263125472,263125472,8024578918,kanako236@cotagba.yqb,389-1222,長野県,上水内郡飯綱町,柳里43533,1996/3/17,長野県,O,buddhism,TRUE,FALSE,5
143,南田 金作,ミナミダ キンサク,男,287432993,,8075364023,kinsaku_minamida@gqwb.fqv,327-0017,栃木県,佐野市,大町43472,1993/5/7,青森県,A,buddhism,TRUE,FALSE,6
144,沖 健,オキ ケン,男,594952088,594952089,8035763314,Ken_Oki@vbzjoqt.pk,510-0043,三重県,四日市市,南納屋町36911,1983/2/5,東京都,O,buddhism,TRUE,FALSE,2
145,宮本 修三,ミヤモト シュウゾウ,男,78259011,,9069366740,yhqzmygiyvhshuuzou98648@wgkc.gor,670-0027,兵庫県,姫路市,景福寺前4-17-11,1982/3/27,山形県,B,buddhism,TRUE,FALSE,3
146,武田 照,タケダ テル,女,194732784,,8094956210,teru_takeda@neklyvyob.qep,028-0501,岩手県,遠野市,青笹町糠前38211,1974/11/20,山口県,A,buddhism,TRUE,FALSE,7
147,重松 弘子,シゲマツ ヒロコ,女,991350822,991350822,9094274344,hiroko_shigematsu@umeqmqilp.het.rb,895-1802,鹿児島県,薩摩郡さつま町,田原38236,1965/12/26,埼玉県,A,buddhism,TRUE,FALSE,5
148,結城 徳雄,ユウキ トクオ,男,124454393,124454393,8087539961,tokuoyuuki@dsgps.yr,068-0101,北海道,岩見沢市,栗沢町北斗43566,1986/10/13,山口県,B,buddhism,TRUE,FALSE,3
149,三井 今日子,ミツイ キョウコ,女,46605416,,9033555274,kyouko125@oxhihflch.xnv,341-0056,埼玉県,三郷市,番匠免2-14-14,1991/4/11,愛媛県,B,buddhism,TRUE,FALSE,4
150,安田 恭之,ヤスダ ヤスユキ,男,189077131,,9047634920,yasuyuki55084@yfzsvj.zsne.wnw,016-0851,秋田県,能代市,緑町2-18-15,1964/5/26,兵庫県,A,buddhism,TRUE,FALSE,1
151,長岡 綾音,ナガオカ アヤネ,女,556642700,556642701,9016990223,ayanenagaoka@ltzbfn.jf,409-0126,山梨県,上野原市,コモアしおつ37744,1968/1/11,山口県,B,buddhism,TRUE,FALSE,6
152,金沢 良明,カナザワ ヨシアキ,男,735739990,,9035516513,yoshiaki446@brec.gezw.ad,649-6501,和歌山県,紀の川市,北志野43559,1998/7/30,北海道,AB,buddhism,TRUE,FALSE,3
153,藤田 睦,フジタ ムツミ,女,28507221,28507221,8076091580,mutsumi616@zgwgzufo.ep,322-0055,栃木県,鹿沼市,石橋町37167,1986/8/5,広島県,B,buddhism,TRUE,FALSE,6
154,江崎 颯太,エザキ ソウタ,男,929638599,,9011222871,aezaki@kgejspwv.rg,802-0031,福岡県,北九州市小倉北区,赤坂海岸2-16-14,1963/8/5,岐阜県,B,buddhism,TRUE,FALSE,4
155,瀬尾 義美,セオ ヨシミ,女,231721408,,8043214219,tciwg=gn=fgvkyoshimi91543@zngycntya.hm,990-0045,山形県,山形市,桜町43474,1964/10/2,鳥取県,O,buddhism,TRUE,FALSE,5
156,浜田 亜衣,ハマダ アイ,女,172727567,,8080688478,aihamada@zajdm.yh.zjf,039-1203,青森県,三戸郡階上町,鳥屋部1-16-3,1976/8/6,三重県,O,buddhism,TRUE,FALSE,7
157,小谷 宣政,コタニ ノブマサ,男,950542799,,9063619543,nobumasa4153@oncy.usnvq.obb,855-0822,長崎県,島原市,中組町37446,1974/9/7,奈良県,A,buddhism,TRUE,FALSE,5
158,松山 天人,マツヤマ タカト,男,976959619,,8081212287,Takato_Matsuyama@msijwtcyq.pf,879-5113,大分県,由布市,湯布院町川西1-18-1,1997/2/14,北海道,O,buddhism,TRUE,FALSE,5
159,新谷 華乃,アラヤ カノ,女,88833436,,8094244757,kano294@puzpleyy.shmex.dzj,779-4801,徳島県,三好市,井川町浜西37273,1994/10/7,佐賀県,O,buddhism,TRUE,FALSE,5
160,吉沢 晶,ヨシザワ アキラ,女,551662189,551662190,8082045700,akira66042@batg.tp,409-3832,山梨県,中央市,馬籠43571,1985/4/15,岐阜県,A,buddhism,TRUE,FALSE,2
161,野口 佳歩,ノグチ カホ,女,183636711,,8073701371,kaho05629@pnprd.ae,010-0142,秋田県,秋田市,下新城青崎43565,1960/5/17,長崎県,A,buddhism,TRUE,FALSE,8
162,三枝 美玖,サエグサ ミク,女,695563653,,8039417249,usaegusa@gphgcso.hh.lwt,598-0021,大阪府,泉佐野市,日根野37026,1997/6/9,和歌山県,O,buddhism,TRUE,FALSE,4
163,金井 哲郎,カネイ テツロウ,男,193224495,,9066347980,Tetsurou_Kanei@lqffim.zoe,027-0042,岩手県,宮古市,神田沢町43469,1998/9/15,東京都,O,buddhism,TRUE,FALSE,3
164,粕谷 奈穂,カスヤ ナホ,女,980674924,,9075008470,naho361@xnwelfk.cv.xd,901-2401,沖縄県,中頭郡中城村,久場43473,1984/1/12,埼玉県,B,buddhism,TRUE,FALSE,7
165,藤岡 幸三郎,フジオカ コウザブロウ,男,735937970,,8076421695,kouzaburou8631@bmgkind.adyuw.hwv,643-0365,和歌山県,有田郡有田川町,中原4-18-8,1966/2/18,宮崎県,O,buddhism,TRUE,FALSE,6
166,河村 雅俊,カワムラ マサトシ,男,179180165,,9091502300,anaxkwsvmasatoshi397@olyz.qmn,039-2657,青森県,上北郡東北町,赤川道37257,1980/11/6,愛知県,AB,buddhism,TRUE,FALSE,2
167,平本 有美,ヒラモト ユミ,女,966005969,,8015637322,yumi83383@mspwetuq.phiw.jc,869-5173,熊本県,八代市,二見赤松町2-19-5,1974/3/24,北海道,A,buddhism,TRUE,FALSE,7
168,広瀬 愛,ヒロセ アイ,女,598280308,,8039416759,aihirose@nhyqt.bl,511-0257,三重県,員弁郡東員町,北大社43507,1970/12/9,和歌山県,B,buddhism,TRUE,FALSE,3
169,矢野 初音,ヤノ ハツネ,女,79922388,79922388,8032974778,hatsune62199@aiyxoq.byo.om,652-0051,兵庫県,神戸市兵庫区,里山町43564,1976/2/4,岡山県,O,buddhism,TRUE,FALSE,8
170,大嶋 里桜,オオシマ リオ,女,763654683,,8051893977,jrtznxxnytrio277@cswcdunii.vlnvi.yzw,927-0626,石川県,鳳珠郡能登町,田代43532,1962/1/14,愛媛県,O,buddhism,TRUE,FALSE,5
171,服部 和裕,ハットリ カズヒロ,男,938118141,,9032181518,kazuhiro438@mvlxluhi.zy,811-3124,福岡県,古賀市,薬王寺37054,1995/3/10,北海道,AB,buddhism,TRUE,FALSE,7
172,横井 啓三,ヨコイ ケイゾウ,男,773674042,773674042,9098389940,Keizou_Yokoi@wyognjbw.cb,600-8203,京都府,京都市下京区,屋形町37236,1985/2/26,熊本県,O,buddhism,TRUE,FALSE,2
173,谷内 昌利,タニウチ マサトシ,男,834775436,,8058023167,masatoshitaniuchi@acdbiiqp.ypv,751-0865,山口県,下関市,綾羅木新町43477,1973/11/3,奈良県,B,buddhism,TRUE,FALSE,6
174,原 勇次,ハラ ユウジ,男,598692202,,8095155347,ihara@zmekrhdmf.ee.jue,511-0071,三重県,桑名市,駅元町1-15-4,1980/8/21,鹿児島県,O,buddhism,TRUE,FALSE,3
175,西沢 沙紀,ニシザワ サキ,女,174542289,174542289,8037209450,saki_nishizawa@clljrrri.tp,036-0366,青森県,黒石市,浦町43575,1981/3/24,茨城県,A,buddhism,TRUE,FALSE,5
176,前野 美由紀,マエノ ミユキ,女,853056547,853056548,8056694661,miyuki739@zwglm.kc,692-0215,島根県,安来市,伯太町高江寸次37137,1997/11/5,新潟県,B,buddhism,TRUE,FALSE,5
177,武藤 吉夫,タケフジ ヨシオ,男,234025624,,8065235698,yoshio_takefuji@qeapd.ihj,999-6708,山形県,酒田市,泉興野2-18-19,1972/8/23,沖縄県,A,buddhism,TRUE,FALSE,7
178,長岡 富士雄,ナガオカ フジオ,男,523410079,523410079,9074869308,fujio87675@eowtjspg.dft.pab,452-0807,愛知県,名古屋市西区,歌里町37243,1969/4/16,兵庫県,B,buddhism,TRUE,FALSE,6
179,福島 総一朗,フクシマ ソウイチロウ,男,963414638,,9024705977,ufukushima@cnxkhyf.mv,861-0532,熊本県,山鹿市,鹿校通37900,1961/12/19,愛知県,A,buddhism,TRUE,FALSE,7
180,向井 利昭,ムカイ トシアキ,男,243716448,,8093893429,imukai@bjpy.exe,962-0812,福島県,須賀川市,浜尾43507,1963/8/2,福岡県,O,buddhism,TRUE,FALSE,3
181,三谷 志帆,ミタニ シホ,女,227988446,,9079747875,shiho590@baxvtmawpm.vom,988-0077,宮城県,気仙沼市,古町43544,1975/1/3,長野県,AB,buddhism,TRUE,FALSE,5
182,西川 美来,ニシカワ ミク,女,533805642,,8045683610,miku749@spgiqjn.gu,444-0114,愛知県,額田郡幸田町,横落38054,1970/7/19,兵庫県,A,buddhism,TRUE,FALSE,5
183,阿部 文香,アベ フミカ,女,877917220,877917221,9057859327,fumikaabe@nmtsdgxb.jhj,762-0021,香川県,坂出市,西庄町43515,1994/1/29,東京都,A,buddhism,TRUE,FALSE,1
184,新村 裕一,ニイムラ ユウイチ,男,983933219,,9066244452,yuuichi_niimura@iowcfccbwx.uw.oxi,881-0113,宮崎県,西都市,下三財1-18-15,1994/4/19,茨城県,A,buddhism,TRUE,FALSE,5
185,湯川 真一,ユカワ シンイチ,男,179246679,,8054530144,haswxzvyxshinichi3279@ceabm.ts,030-1301,青森県,東津軽郡外ヶ浜町,蟹田石浜43475,1975/11/21,秋田県,O,buddhism,TRUE,FALSE,6
186,伊東 友紀,イトウ ユキ,女,552656595,,9031671036,yukiitou@uxgexyw.stz.yk,424-0003,静岡県,静岡市清水区,蜂ケ谷37411,1972/6/4,埼玉県,A,buddhism,TRUE,FALSE,1
187,松木 俊子,マツキ トシコ,女,267230058,267230058,8087692682,zywvfvkutoshiko5301@ogna.gtx,385-0014,長野県,佐久市,三河田43513,1995/3/19,埼玉県,B,buddhism,TRUE,FALSE,5
188,宇野 楓香,ウノ フウカ,女,152800928,,9067502671,szhvzjp--oe=xfuuka4031@rwjvb.bfj,073-0142,北海道,砂川市,西二条南37349,1966/2/13,山梨県,A,buddhism,TRUE,FALSE,1
189,豊田 百香,トヨダ モモカ,女,736063441,,8033360694,momoka604@zzbczoym.fux,640-1244,和歌山県,海草郡紀美野町,福田37594,1998/9/10,茨城県,A,buddhism,TRUE,FALSE,7
190,北沢 御喜家,キタザワ ミキヤ,男,956276967,956276967,9087938641,mikiya0335@xhqh.wgw,853-0214,長崎県,五島市,富江町土取37780,1992/8/16,徳島県,O,buddhism,TRUE,FALSE,7
191,大木 義彦,オオキ ヨシヒコ,男,284601578,,9060084980,Yoshihiko_Ooki@jfgzbv.hcf,323-0155,栃木県,小山市,福良3-16-12,1977/11/17,富山県,O,buddhism,TRUE,FALSE,5
192,安西 陽花,アンザイ ハルカ,女,865712593,,8014184502,haruka81733@tkuvnm.zp,704-8148,岡山県,岡山市東区,水門町37412,1968/12/20,東京都,A,buddhism,TRUE,FALSE,1
193,野間 灯,ノマ アカリ,女,635467147,635467147,9012955234,akari35898@vvmmrntuu.gm,569-1029,大阪府,高槻市,安岡寺町36982,1972/8/20,新潟県,O,buddhism,TRUE,FALSE,8
194,日下 空,クサカ ソラ,女,797006313,,9075823833,sora5567@wzdspkl.lx,675-1365,兵庫県,小野市,広渡町4-13-10,1971/3/20,奈良県,A,buddhism,TRUE,FALSE,6
195,斉藤 美奈子,サイトウ ミナコ,女,177627196,,8020916776,minakosaitou@cfdfputo.ppidi.jff,036-8181,青森県,弘前市,山道町38089,1977/11/8,福島県,O,buddhism,TRUE,FALSE,5
196,小山 勝治,オヤマ カツジ,男,987771897,,9022565571,katsujioyama@eqqof.pvt,901-0325,沖縄県,糸満市,大里37454,1987/11/15,京都府,O,buddhism,TRUE,FALSE,5
197,小嶋 瑠璃,オジマ ルリ,女,291241292,,8061592108,ruri91662@jhgv.xk,311-1123,茨城県,水戸市,下入野町3-19-2,1986/5/12,大分県,A,buddhism,TRUE,FALSE,5
198,田辺 春美,タナベ ハルミ,女,964495334,964495335,9047626573,harumitanabe@mfex.bvg,869-1208,熊本県,菊池市,旭志伊萩43556,1989/1/16,青森県,A,buddhism,TRUE,FALSE,6
199,寺崎 一美,テラサキ カズミ,女,893026582,,9059632878,kazumi858@slvo.wduj.ohx,791-1134,愛媛県,松山市,恵原町1-15-6,1976/8/10,高知県,B,buddhism,TRUE,FALSE,5
200,堀田 義和,ホッタ ヨシカズ,男,799269294,,9012546419,d-tcd=yoshikazu70766@wzbudpz.byf,671-1601,兵庫県,たつの市,揖保川町半田3-19-2,1974/8/18,宮城県,B,buddhism,TRUE,FALSE,8
